 v-sweep         v(drain_iv)     v(gate_iv)      id              is              ib              ig              kcl            
 0.00000000e+00  0.00000000e+00  6.00000000e-01  1.38354525e-09  1.38354526e-09  7.31814892e-11 -2.84027199e-09  6.62561357e-19 
 5.00000000e-02  5.00000000e-02  6.00000000e-01 -5.47721138e-04  5.47723694e-04  7.86460309e-11 -2.63471932e-09  4.21774677e-19 
 1.00000000e-01  1.00000000e-01  6.00000000e-01 -9.90515499e-04  9.90517885e-04  8.45602717e-11 -2.47031431e-09  1.03508553e-18 
 1.50000000e-01  1.50000000e-01  6.00000000e-01 -1.33354447e-03  1.33354672e-03  9.09828454e-11 -2.34414041e-09  6.42996700e-19 
 2.00000000e-01  2.00000000e-01  6.00000000e-01 -1.58399586e-03  1.58399802e-03  9.79964747e-11 -2.25097861e-09  8.91560235e-19 
 2.50000000e-01  2.50000000e-01  6.00000000e-01 -1.75970575e-03  1.75970783e-03  1.05697068e-10 -2.18715738e-09  2.76574466e-18 
 3.00000000e-01  3.00000000e-01  6.00000000e-01 -1.89162320e-03  1.89162523e-03  1.14130084e-10 -2.14759685e-09  5.66839603e-19 
 3.50000000e-01  3.50000000e-01  6.00000000e-01 -2.00476604e-03  2.00476804e-03  1.23297266e-10 -2.12641152e-09  3.50322291e-18 
 4.00000000e-01  4.00000000e-01  6.00000000e-01 -2.11082826e-03  2.11083025e-03  1.33211881e-10 -2.11905843e-09  3.07992460e-18 
 4.50000000e-01  4.50000000e-01  6.00000000e-01 -2.21446138e-03  2.21446336e-03  1.43906406e-10 -2.12234076e-09  1.09618647e-18 
 5.00000000e-01  5.00000000e-01  6.00000000e-01 -2.31762379e-03  2.31762577e-03  1.55424895e-10 -2.13391010e-09  1.91237964e-18 
 5.50000000e-01  5.50000000e-01  6.00000000e-01 -2.42122772e-03  2.42122970e-03  1.67818507e-10 -2.15197530e-09  1.00538199e-18 
 6.00000000e-01  6.00000000e-01  6.00000000e-01 -2.52573619e-03  2.52573819e-03  1.81143690e-10 -2.17510073e-09  6.44382434e-19 
 6.50000000e-01  6.50000000e-01  6.00000000e-01 -2.63139873e-03  2.63140073e-03  1.95461537e-10 -2.19863680e-09  7.64388505e-19 
 7.00000000e-01  7.00000000e-01  6.00000000e-01 -2.73835486e-03  2.73835686e-03  2.10837616e-10 -2.21910202e-09  6.80023062e-19 
 7.50000000e-01  7.50000000e-01  6.00000000e-01 -2.84668547e-03  2.84668748e-03  2.27342033e-10 -2.23506799e-09  7.28041362e-19 
