 time            time            v(gate_rc)      id             
 0.00000000e+00  0.00000000e+00  8.64985313e-07  1.28088878e-07 
 1.00000000e-14  1.00000000e-14  6.22490204e-04  4.19594639e-06 
 1.00246376e-14  1.00246376e-14  6.24021827e-04  4.20658363e-06 
 1.00739129e-14  1.00739129e-14  6.27085277e-04  4.22788222e-06 
 1.01724635e-14  1.01724635e-14  6.33213158e-04  4.27045902e-06 
 1.03695647e-14  1.03695647e-14  6.45472963e-04  4.35553075e-06 
 1.07637670e-14  1.07637670e-14  6.70008813e-04  4.52536629e-06 
 1.15521716e-14  1.15521716e-14  7.19145252e-04  4.86395291e-06 
 1.31289808e-14  1.31289808e-14  8.17675425e-04  5.53766733e-06 
 1.62825993e-14  1.62825993e-14  1.01575691e-03  6.87539594e-06 
 2.25898363e-14  2.25898363e-14  1.41597751e-03  9.52605905e-06 
 3.52043102e-14  3.52043102e-14  2.23258468e-03  1.47625598e-05 
 5.22440651e-14  5.22440651e-14  3.36980756e-03  2.17372539e-05 
 7.29120858e-14  7.29120858e-14  4.80170731e-03  3.00881853e-05 
 9.32543214e-14  9.32543214e-14  6.26711669e-03  3.82240105e-05 
 1.16259569e-13  1.16259569e-13  7.99119098e-03  4.73552637e-05 
 1.39577741e-13  1.39577741e-13  9.81086965e-03  5.65545011e-05 
 1.64401170e-13  1.64401170e-13  1.18275554e-02  6.62984746e-05 
 1.88300230e-13  1.88300230e-13  1.38463680e-02  7.56380750e-05 
 2.13034841e-13  2.13034841e-13  1.60152311e-02  8.52652804e-05 
 2.37016263e-13  2.37016263e-13  1.81949309e-02  9.45628388e-05 
 2.61617201e-13  2.61617201e-13  2.05092682e-02  1.04064225e-04 
 2.85714132e-13  2.85714132e-13  2.28527807e-02  1.13335149e-04 
 3.10283796e-13  3.10283796e-13  2.53199748e-02  1.22751628e-04 
 3.34513008e-13  3.34513008e-13  2.78294853e-02  1.32001281e-04 
 3.59095657e-13  3.59095657e-13  3.04528912e-02  1.41348918e-04 
 3.83446947e-13  3.83446947e-13  3.31280070e-02  1.50571424e-04 
 4.08063280e-13  4.08063280e-13  3.59091567e-02  1.59856600e-04 
 4.32526008e-13  4.32526008e-13  3.87491932e-02  1.69045845e-04 
 4.57191085e-13  4.57191085e-13  4.16892871e-02  1.78272623e-04 
 4.81759022e-13  4.81759022e-13  4.46938419e-02  1.87424287e-04 
 5.06485152e-13  5.06485152e-13  4.77939696e-02  1.96595684e-04 
 5.31155206e-13  5.31155206e-13  5.09628750e-02  2.05706809e-04 
 5.55952397e-13  5.55952397e-13  5.42240074e-02  2.14825068e-04 
 5.80723447e-13  5.80723447e-13  5.75572549e-02  2.23893655e-04 
 6.05599897e-13  6.05599897e-13  6.09802546e-02  2.32960498e-04 
 6.30472141e-13  6.30472141e-13  6.44779543e-02  2.41985289e-04 
 6.55434695e-13  6.55434695e-13  6.80635971e-02  2.51002134e-04 
 6.80409223e-13  6.80409223e-13  7.17259493e-02  2.59982463e-04 
 7.05463698e-13  7.05463698e-13  7.54749415e-02  2.68950580e-04 
 7.30542173e-13  7.30542173e-13  7.93022127e-02  2.77886269e-04 
 7.55693580e-13  7.55693580e-13  8.32152020e-02  2.86806880e-04 
 7.80877996e-13  7.80877996e-13  8.72077033e-02  2.95698142e-04 
 8.06130686e-13  8.06130686e-13  9.12852850e-02  3.04572476e-04 
