 time            time            v(gate_rc)      id             
 0.00000000e+00  0.00000000e+00  1.72305090e-07  2.55138991e-08 
 1.00000000e-14  1.00000000e-14  2.00993779e-04  4.28409158e-06 
 1.00238784e-14  1.00238784e-14  2.01473727e-04  4.29430630e-06 
 1.00716352e-14  1.00716352e-14  2.02434636e-04  4.31487506e-06 
 1.01671488e-14  1.01671488e-14  2.04361321e-04  4.35598261e-06 
 1.03581759e-14  1.03581759e-14  2.08234770e-04  4.43808525e-06 
 1.07402302e-14  1.07402302e-14  2.16062348e-04  4.60191396e-06 
 1.15043388e-14  1.15043388e-14  2.32039906e-04  4.92840766e-06 
 1.30325559e-14  1.30325559e-14  2.65282320e-04  5.57790729e-06 
 1.60889902e-14  1.60889902e-14  3.36906592e-04  6.86646968e-06 
 2.22018588e-14  2.22018588e-14  5.00653534e-04  9.41464002e-06 
 3.44275961e-14  3.44275961e-14  9.09692156e-04  1.44415208e-05 
 4.80629938e-14  4.80629938e-14  1.49326063e-03  1.99769549e-05 
 6.21229722e-14  6.21229722e-14  2.23446552e-03  2.56258120e-05 
 7.62711230e-14  7.62711230e-14  3.12194067e-03  3.12562453e-05 
 9.02157186e-14  9.02157186e-14  4.13432975e-03  3.67539295e-05 
 1.04220875e-13  1.04220875e-13  5.28732899e-03  4.22236569e-05 
 1.18134778e-13  1.18134778e-13  6.56663436e-03  4.76059722e-05 
 1.32159352e-13  1.32159352e-13  7.98970177e-03  5.29787746e-05 
 1.46162408e-13  1.46162408e-13  9.54299313e-03  5.82908394e-05 
 1.60273335e-13  1.60273335e-13  1.12406549e-02  6.35908421e-05 
 1.74388068e-13  1.74388068e-13  1.30702929e-02  6.88391165e-05 
 1.88596574e-13  1.88596574e-13  1.50434569e-02  7.40687379e-05 
 2.02823573e-13  2.02823573e-13  1.71497566e-02  7.92515177e-05 
 2.17134283e-13  2.17134283e-13  1.93987348e-02  8.44109032e-05 
 2.31475221e-13  2.31475221e-13  2.17820065e-02  8.95272325e-05 
 2.45893845e-13  2.45893845e-13  2.43073604e-02  9.46171953e-05 
 2.60352117e-13  2.60352117e-13  2.69681357e-02  9.96670855e-05 
 2.74884536e-13  2.74884536e-13  2.97706011e-02  1.04688793e-04 
 2.89464054e-13  2.89464054e-13  3.27095319e-02  1.09672801e-04 
 3.04115801e-13  3.04115801e-13  3.57899277e-02  1.14627637e-04 
 3.18820600e-13  3.18820600e-13  3.90077425e-02  1.19546764e-04 
 3.33596824e-13  3.33596824e-13  4.23669420e-02  1.24436373e-04 
 3.48430938e-13  3.48430938e-13  4.58644320e-02  1.29292058e-04 
 3.63336427e-13  3.63336427e-13  4.95033469e-02  1.34118396e-04 
 3.78303790e-13  3.78303790e-13  5.32813490e-02  1.38912511e-04 
 3.93342964e-13  3.93342964e-13  5.72009099e-02  1.43677869e-04 
 4.08447314e-13  4.08447314e-13  6.12602841e-02  1.48412695e-04 
 4.23624192e-13  4.23624192e-13  6.54614179e-02  1.53119690e-04 
 4.38868992e-13  4.38868992e-13  6.98030224e-02  1.57797866e-04 
 4.54187167e-13  4.54187167e-13  7.42866282e-02  1.62449388e-04 
 4.69575540e-13  4.69575540e-13  7.89112944e-02  1.67073815e-04 
 4.85038167e-13  4.85038167e-13  8.36782233e-02  1.71672918e-04 
 5.00572871e-13  5.00572871e-13  8.85867362e-02  1.76246604e-04 
 5.16182677e-13  5.16182677e-13  9.36377778e-02  1.80796311e-04 
 5.31866116e-13  5.31866116e-13  9.88308673e-02  1.85322118e-04 
 5.47625468e-13  5.47625468e-13  1.04166751e-01  1.89825123e-04 
 5.63459779e-13  5.63459779e-13  1.09645103e-01  1.94305386e-04 
 5.79370815e-13  5.79370815e-13  1.15266527e-01  1.98763586e-04 
 5.95358039e-13  5.95358039e-13  1.21030828e-01  2.03199540e-04 
 6.11422915e-13  6.11422915e-13  1.26938524e-01  2.07613346e-04 
 6.27565308e-13  6.27565308e-13  1.32989555e-01  2.12004292e-04 
 6.43786602e-13  6.43786602e-13  1.39184423e-01  2.16371620e-04 
 6.60087133e-13  6.60087133e-13  1.45523234e-01  2.20713703e-04 
 6.76468473e-13  6.76468473e-13  1.52006568e-01  2.25028515e-04 
 6.92931610e-13  6.92931610e-13  1.58634774e-01  2.29312970e-04 
 7.09478646e-13  7.09478646e-13  1.65408642e-01  2.33563166e-04 
 7.26111546e-13  7.26111546e-13  1.72328900e-01  2.37773800e-04 
 7.42833426e-13  7.42833426e-13  1.79396748e-01  2.41938208e-04 
 7.59647745e-13  7.59647745e-13  1.86613522e-01  2.46047799e-04 
 7.76559349e-13  7.76559349e-13  1.93981139e-01  2.50091883e-04 
 7.93574034e-13  7.93574034e-13  2.01501920e-01  2.54057057e-04 
 8.10699513e-13  8.10699513e-13  2.09179011e-01  2.57926807e-04 
 8.27945408e-13  8.27945408e-13  2.17016389e-01  2.61680755e-04 
