 time            time            v(gate_charge)  ig_charge       id_charge       is_charge       ib_charge       i_total         qg_approx       qd_approx       qs_approx       qb_approx       q_total        
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.33852220e-08 -1.16788545e-06  1.15074030e-06  3.75992119e-09 -5.31877134e-22  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-13  1.00000000e-13  1.20000000e-04 -1.80023837e-06 -5.42212649e-07  2.12756488e-06  2.13686141e-07 -1.20000002e-09 -8.93426573e-20 -8.55049047e-20  1.63915259e-19  1.08723031e-20 -6.00000009e-23 
 1.00033142e-13  1.00033142e-13  1.20039770e-04 -1.80083899e-06 -5.42009409e-07  2.12789269e-06  2.13755716e-07 -1.19999503e-09 -8.94023303e-20 -8.55228712e-20  1.63985776e-19  1.08793862e-20 -6.00397709e-23 
 1.00099425e-13  1.00099425e-13  1.20119310e-04 -1.80204012e-06 -5.41594824e-07  2.12854000e-06  2.13894920e-07 -1.20002217e-09 -8.95217359e-20 -8.55587837e-20  1.64126841e-19  1.08935593e-20 -6.01193116e-23 
 1.00231992e-13  1.00231992e-13  1.20278391e-04 -1.80444182e-06 -5.40765951e-07  2.12983418e-06  2.14173585e-07 -1.20000829e-09 -8.97607860e-20 -8.56305264e-20  1.64409101e-19  1.09219332e-20 -6.02783940e-23 
 1.00497126e-13  1.00497126e-13  1.20596551e-04 -1.80924294e-06 -5.39109453e-07  2.13242047e-06  2.14731916e-07 -1.20000625e-09 -9.02398411e-20 -8.57736821e-20  1.64974135e-19  1.09787918e-20 -6.05965565e-23 
 1.01027394e-13  1.01027394e-13  1.21232872e-04 -1.81883599e-06 -5.35801626e-07  2.13758538e-06  2.15852233e-07 -1.19999763e-09 -9.12017677e-20 -8.60586775e-20  1.66106258e-19  1.10929543e-20 -6.12328788e-23 
 1.02087929e-13  1.02087929e-13  1.22505515e-04 -1.83798538e-06 -5.29205575e-07  2.14788599e-06  2.18104967e-07 -1.19999816e-09 -9.31408620e-20 -8.66234164e-20  1.68378705e-19  1.13230678e-20 -6.25055191e-23 
 1.04209000e-13  1.04209000e-13  1.25050800e-04 -1.87613799e-06 -5.16087016e-07  2.16838006e-06  2.22644944e-07 -1.20000111e-09 -9.70798214e-20 -8.77319862e-20  1.72956258e-19  1.17904987e-20 -6.50508033e-23 
 1.08451142e-13  1.08451142e-13  1.30141370e-04 -1.95186312e-06 -4.90121657e-07  2.20897987e-06  2.31804909e-07 -1.20000035e-09 -1.05199283e-19 -8.98662261e-20  1.82240949e-19  1.27544190e-20 -7.01413765e-23 
