 time            time            v(in_inv)       v(out_inv)      i(Vdd_inv)     
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.19998004e+00 -1.46818163e-06 
 1.00000000e-13  1.00000000e-13  1.20000000e-03  1.20002586e+00  1.28343734e-05 
 1.00033142e-13  1.00033142e-13  1.20039770e-03  1.20002587e+00  1.28366402e-05 
 1.00099425e-13  1.00099425e-13  1.20119310e-03  1.20002590e+00  1.28418853e-05 
 1.00231992e-13  1.00231992e-13  1.20278391e-03  1.20002596e+00  1.28524297e-05 
 1.00497126e-13  1.00497126e-13  1.20596551e-03  1.20002609e+00  1.28737410e-05 
 1.01027394e-13  1.01027394e-13  1.21232872e-03  1.20002634e+00  1.29172414e-05 
 1.02087929e-13  1.02087929e-13  1.22505515e-03  1.20002687e+00  1.30076092e-05 
 1.04209000e-13  1.04209000e-13  1.25050800e-03  1.20002800e+00  1.32006320e-05 
 1.08451142e-13  1.08451142e-13  1.30141370e-03  1.20003049e+00  1.36272779e-05 
 1.13109209e-13  1.13109209e-13  1.35731051e-03  1.20003347e+00  1.41443383e-05 
 1.18730588e-13  1.18730588e-13  1.42476705e-03  1.20003728e+00  1.48159239e-05 
 1.24814166e-13  1.24814166e-13  1.49777000e-03  1.20004158e+00  1.55815071e-05 
 1.32246912e-13  1.32246912e-13  1.58696294e-03  1.20004698e+00  1.65492155e-05 
 1.41150657e-13  1.41150657e-13  1.69380788e-03  1.20005361e+00  1.77332293e-05 
 1.53379092e-13  1.53379092e-13  1.84054910e-03  1.20006298e+00  1.93773434e-05 
 1.70643238e-13  1.70643238e-13  2.04771886e-03  1.20007671e+00  2.17053438e-05 
 1.92169187e-13  1.92169187e-13  2.30603024e-03  1.20009465e+00  2.45974862e-05 
 2.12269238e-13  2.12269238e-13  2.54723085e-03  1.20011216e+00  2.72785448e-05 
 2.34571392e-13  2.34571392e-13  2.81485671e-03  1.20013236e+00  3.02260335e-05 
 2.55369856e-13  2.55369856e-13  3.06443827e-03  1.20015183e+00  3.29464689e-05 
 2.77854432e-13  2.77854432e-13  3.33425319e-03  1.20017347e+00  3.58549427e-05 
 2.99413813e-13  2.99413813e-13  3.59296576e-03  1.20019468e+00  3.86110363e-05 
 3.22395396e-13  3.22395396e-13  3.86874475e-03  1.20021773e+00  4.15131441e-05 
 3.44860137e-13  3.44860137e-13  4.13832164e-03  1.20024060e+00  4.43141664e-05 
 3.68517519e-13  3.68517519e-13  4.42221023e-03  1.20026498e+00  4.72258264e-05 
 3.91931527e-13  3.91931527e-13  4.70317832e-03  1.20028934e+00  5.00695009e-05 
 4.16362434e-13  4.16362434e-13  4.99634921e-03  1.20031494e+00  5.29969675e-05 
 4.40755802e-13  4.40755802e-13  5.28906962e-03  1.20034061e+00  5.58801891e-05 
 4.66047255e-13  4.66047255e-13  5.59256706e-03  1.20036730e+00  5.88284746e-05 
 4.91465265e-13  4.91465265e-13  5.89758318e-03  1.20039414e+00  6.17502687e-05 
 5.17707454e-13  5.17707454e-13  6.21248944e-03  1.20042182e+00  6.47244201e-05 
 5.44210860e-13  5.44210860e-13  6.53053032e-03  1.20044969e+00  6.76855092e-05 
 5.71498572e-13  5.71498572e-13  6.85798287e-03  1.20047825e+00  7.06905403e-05 
 5.99161935e-13  5.99161935e-13  7.18994322e-03  1.20050704e+00  7.36928509e-05 
 6.27596468e-13  6.27596468e-13  7.53115761e-03  1.20053641e+00  7.67338164e-05 
 6.56508301e-13  6.56508301e-13  7.87809961e-03  1.20056601e+00  7.97802733e-05 
 6.86200127e-13  6.86200127e-13  8.23440153e-03  1.20059611e+00  8.28624374e-05 
 7.16464061e-13  7.16464061e-13  8.59756873e-03  1.20062645e+00  8.59568893e-05 
 7.47535966e-13  7.47535966e-13  8.97043159e-03  1.20065723e+00  8.90859173e-05 
 7.79272210e-13  7.79272210e-13  9.35126653e-03  1.20068825e+00  9.22330829e-05 
 8.11861768e-13  8.11861768e-13  9.74234121e-03  1.20071965e+00  9.54151262e-05 
 8.45210783e-13  8.45210783e-13  1.01425294e-02  1.20075129e+00  9.86207375e-05 
 8.79474720e-13  8.79474720e-13  1.05536966e-02  1.20078329e+00  1.01862657e-04 
 9.14599290e-13  9.14599290e-13  1.09751915e-02  1.20081554e+00  1.05133391e-04 
 9.50717669e-13  9.50717669e-13  1.14086120e-02  1.20084812e+00  1.08442892e-04 
 9.87807787e-13  9.87807787e-13  1.18536934e-02  1.20088096e+00  1.11786523e-04 
 1.02598947e-12  1.02598947e-12  1.23118736e-02  1.20091413e+00  1.15172341e-04 
 1.06526812e-12  1.06526812e-12  1.27832175e-02  1.20094758e+00  1.18597887e-04 
 1.10575764e-12  1.10575764e-12  1.32690917e-02  1.20098136e+00  1.22069986e-04 
 1.14748834e-12  1.14748834e-12  1.37698600e-02  1.20101545e+00  1.25587901e-04 
 1.19057474e-12  1.19057474e-12  1.42868969e-02  1.20104989e+00  1.29157730e-04 
 1.23507144e-12  1.23507144e-12  1.48208573e-02  1.20108467e+00  1.32780160e-04 
 1.28109994e-12  1.28109994e-12  1.53731993e-02  1.20111984e+00  1.36460963e-04 
 1.32874033e-12  1.32874033e-12  1.59448839e-02  1.20115540e+00  1.40202079e-04 
 1.37812781e-12  1.37812781e-12  1.65375337e-02  1.20119140e+00  1.44009291e-04 
 1.42937127e-12  1.42937127e-12  1.71524552e-02  1.20122785e+00  1.47885726e-04 
 1.48262741e-12  1.48262741e-12  1.77915289e-02  1.20126481e+00  1.51837488e-04 
 1.53803976e-12  1.53803976e-12  1.84564772e-02  1.20130230e+00  1.55868920e-04 
