 v-sweep         v(drain_iv)     v(gate_iv)      id              is              ib              ig              kcl            
 0.00000000e+00  0.00000000e+00  6.00000000e-01  1.35086593e-09  1.35086593e-09  9.03266229e-12 -2.71076452e-09  5.69706750e-19 
 5.00000000e-02  5.00000000e-02  6.00000000e-01 -9.94432552e-04  9.94435044e-04  9.85258830e-12 -2.50126000e-09  1.36293060e-18 
 1.00000000e-01  1.00000000e-01  6.00000000e-01 -1.71017601e-03  1.71017833e-03  1.08211113e-11 -2.33359912e-09  1.39680931e-18 
 1.50000000e-01  1.50000000e-01  6.00000000e-01 -2.18051254e-03  2.18051474e-03  1.20348787e-11 -2.20599721e-09  2.98193824e-18 
 2.00000000e-01  2.00000000e-01  6.00000000e-01 -2.46424968e-03  2.46425178e-03  1.36007898e-11 -2.11366769e-09  2.53664410e-18 
 2.50000000e-01  2.50000000e-01  6.00000000e-01 -2.65225600e-03  2.65225803e-03  1.55016913e-11 -2.04960477e-09  2.39864347e-18 
 3.00000000e-01  3.00000000e-01  6.00000000e-01 -2.80415131e-03  2.80415330e-03  1.76642532e-11 -2.00659895e-09  5.40073250e-19 
 3.50000000e-01  3.50000000e-01  6.00000000e-01 -2.94246646e-03  2.94246842e-03  2.00532587e-11 -1.97955474e-09  1.26047708e-19 
 4.00000000e-01  4.00000000e-01  6.00000000e-01 -3.07518526e-03  3.07518721e-03  2.26605494e-11 -1.96485034e-09  2.38693375e-18 
 4.50000000e-01  4.50000000e-01  6.00000000e-01 -3.20551714e-03  3.20551907e-03  2.54892064e-11 -1.95972923e-09  1.59737465e-19 
 5.00000000e-01  5.00000000e-01  6.00000000e-01 -3.33493260e-03  3.33493453e-03  2.85472964e-11 -1.96202063e-09  1.64280101e-18 
 5.50000000e-01  5.50000000e-01  6.00000000e-01 -3.46417583e-03  3.46417776e-03  3.18455887e-11 -1.96999598e-09  2.63743537e-18 
 6.00000000e-01  6.00000000e-01  6.00000000e-01 -3.59365061e-03  3.59365256e-03  3.53966787e-11 -1.98222973e-09  2.65316996e-18 
 6.50000000e-01  6.50000000e-01  6.00000000e-01 -3.72358734e-03  3.72358929e-03  3.92146462e-11 -1.99405589e-09  8.02104051e-19 
 7.00000000e-01  7.00000000e-01  6.00000000e-01 -3.85412527e-03  3.85412723e-03  4.33149396e-11 -2.00196153e-09  3.29619351e-19 
 7.50000000e-01  7.50000000e-01  6.00000000e-01 -3.98536030e-03  3.98536226e-03  4.77143660e-11 -2.00447710e-09  1.40153242e-18 
 8.00000000e-01  8.00000000e-01  6.00000000e-01 -4.11737861e-03  4.11738056e-03  5.24311372e-11 -1.99981432e-09  2.10480603e-18 
 8.50000000e-01  8.50000000e-01  6.00000000e-01 -4.25028445e-03  4.25028638e-03  5.74849496e-11 -1.98577897e-09  1.41049502e-18 
 9.00000000e-01  9.00000000e-01  6.00000000e-01 -4.38422462e-03  4.38422652e-03  6.28970863e-11 -1.95968967e-09  2.27480413e-18 
 9.50000000e-01  9.50000000e-01  6.00000000e-01 -4.51940991e-03  4.51941176e-03  6.86905364e-11 -1.91828308e-09  5.29052661e-19 
 1.00000000e+00  1.00000000e+00  6.00000000e-01 -4.65613294e-03  4.65613472e-03  7.48901302e-11 -1.85760290e-09  1.22860080e-18 
 1.05000000e+00  1.05000000e+00  6.00000000e-01 -4.79478173e-03  4.79478342e-03  8.15226875e-11 -1.77286941e-09  1.28435094e-18 
 1.10000000e+00  1.10000000e+00  6.00000000e-01 -4.93584882e-03  4.93585039e-03  8.86171805e-11 -1.65832659e-09  2.64116360e-18 
 1.15000000e+00  1.15000000e+00  6.00000000e-01 -5.07993616e-03  5.07993744e-03  2.35635656e-10 -1.50706299e-09  1.29803746e-18 
 1.20000000e+00  1.20000000e+00  6.00000000e-01 -5.22775606e-03  5.22775641e-03  9.65972941e-10 -1.31080191e-09  1.94811043e-18 
 0.00000000e+00  0.00000000e+00  7.00000000e-01  2.57432037e-09  2.57432037e-09  5.01986614e-11 -5.19883941e-09  4.85654139e-19 
 5.00000000e-02  5.00000000e-02  7.00000000e-01 -1.26101310e-03  1.26101791e-03  5.46683015e-11 -4.86460265e-09  5.64374682e-19 
 1.00000000e-01  1.00000000e-01  7.00000000e-01 -2.26443093e-03  2.26443546e-03  5.95891171e-11 -4.58984519e-09  1.26048028e-18 
 1.50000000e-01  1.50000000e-01  7.00000000e-01 -3.02971655e-03  3.02972085e-03  6.50547357e-11 -4.37364291e-09  6.34065450e-19 
 2.00000000e-01  2.00000000e-01  7.00000000e-01 -3.57275158e-03  3.57275572e-03  7.12156632e-11 -4.20958944e-09  2.23052955e-18 
 2.50000000e-01  2.50000000e-01  7.00000000e-01 -3.92853026e-03  3.92853427e-03  7.82399004e-11 -4.09354536e-09  2.62046902e-19 
 3.00000000e-01  3.00000000e-01  7.00000000e-01 -4.16851597e-03  4.16851990e-03  8.61567570e-11 -4.01731103e-09  9.81231899e-19 
 3.50000000e-01  3.50000000e-01  7.00000000e-01 -4.35506825e-03  4.35507212e-03  9.49018676e-11 -3.97072814e-09  1.70315066e-18 
 4.00000000e-01  4.00000000e-01  7.00000000e-01 -4.51837465e-03  4.51837849e-03  1.04448678e-10 -3.94626968e-09  2.96052181e-19 
 4.50000000e-01  4.50000000e-01  7.00000000e-01 -4.67077865e-03  4.67078247e-03  1.14815396e-10 -3.93884584e-09  5.45603860e-19 
 5.00000000e-01  5.00000000e-01  7.00000000e-01 -4.81761731e-03  4.81762112e-03  1.26044284e-10 -3.94479114e-09  4.98622974e-19 
 5.50000000e-01  5.50000000e-01  7.00000000e-01 -4.96144953e-03  4.96145335e-03  1.38190965e-10 -3.96132181e-09  2.35813063e-19 
 6.00000000e-01  6.00000000e-01  7.00000000e-01 -5.10362309e-03  5.10362692e-03  1.51320214e-10 -3.98626891e-09  3.90030783e-18 
 6.50000000e-01  6.50000000e-01  7.00000000e-01 -5.24490386e-03  5.24490771e-03  1.65504411e-10 -4.01792957e-09  2.05032741e-20 
 7.00000000e-01  7.00000000e-01  7.00000000e-01 -5.38575541e-03  5.38575929e-03  1.80823096e-10 -4.05492176e-09  1.82008169e-21 
 7.50000000e-01  7.50000000e-01  7.00000000e-01 -5.52647799e-03  5.52648189e-03  1.97363020e-10 -4.09263678e-09  1.50932438e-18 
 8.00000000e-01  8.00000000e-01  7.00000000e-01 -5.66728794e-03  5.66729185e-03  2.15218435e-10 -4.12763036e-09  9.92807943e-19 
 8.50000000e-01  8.50000000e-01  7.00000000e-01 -5.80837151e-03  5.80837543e-03  2.34491541e-10 -4.15851166e-09  1.47482079e-18 
 9.00000000e-01  9.00000000e-01  7.00000000e-01 -5.94992687e-03  5.94993080e-03  2.55293017e-10 -4.18358052e-09  5.39641206e-19 
 9.50000000e-01  9.50000000e-01  7.00000000e-01 -6.09219934e-03  6.09220326e-03  2.77742644e-10 -4.20074005e-09  1.02158129e-18 
 1.00000000e+00  1.00000000e+00  7.00000000e-01 -6.23551077e-03  6.23551468e-03  3.01969978e-10 -4.20741547e-09  3.49226845e-18 
 1.05000000e+00  1.05000000e+00  7.00000000e-01 -6.38028279e-03  6.38028667e-03  3.28115097e-10 -4.20045973e-09  3.66298075e-18 
 1.10000000e+00  1.10000000e+00  7.00000000e-01 -6.52705350e-03  6.52705732e-03  3.56329405e-10 -4.17604281e-09  1.50714929e-18 
 1.15000000e+00  1.15000000e+00  7.00000000e-01 -6.67648760e-03  6.67649134e-03  3.86776500e-10 -4.12952192e-09  1.14542905e-18 
 1.20000000e+00  1.20000000e+00  7.00000000e-01 -6.82938061e-03  6.82938408e-03  5.87060520e-10 -4.05528926e-09  9.22138672e-19 
 0.00000000e+00  0.00000000e+00  8.00000000e-01  4.51362735e-09  4.51362735e-09  2.67197153e-10 -9.29445185e-09  3.90735027e-18 
 5.00000000e-02  5.00000000e-02  8.00000000e-01 -1.44104371e-03  1.44105221e-03  2.90618799e-10 -8.78817980e-09  1.84402960e-18 
 1.00000000e-01  1.00000000e-01  8.00000000e-01 -2.65084026e-03  2.65084831e-03  3.16105044e-10 -8.36697782e-09  1.18940548e-18 
 1.50000000e-01  1.50000000e-01  8.00000000e-01 -3.64412357e-03  3.64413125e-03  3.43865368e-10 -8.03224671e-09  3.74090261e-19 
 2.00000000e-01  2.00000000e-01  8.00000000e-01 -4.43034923e-03  4.43035663e-03  3.74156548e-10 -7.77246279e-09  9.01012014e-19 
 2.50000000e-01  2.50000000e-01  8.00000000e-01 -5.01544589e-03  5.01545307e-03  4.07313000e-10 -7.58235612e-09  9.92591299e-19 
 3.00000000e-01  3.00000000e-01  8.00000000e-01 -5.42051012e-03  5.42051713e-03  4.43698518e-10 -7.45867605e-09  7.85195716e-19 
 3.50000000e-01  3.50000000e-01  8.00000000e-01 -5.70121097e-03  5.70121788e-03  4.83545129e-10 -7.39214804e-09  1.88718258e-18 
 4.00000000e-01  4.00000000e-01  8.00000000e-01 -5.91654235e-03  5.91654920e-03  5.26977050e-10 -7.36924816e-09  3.27153965e-18 
 4.50000000e-01  4.50000000e-01  8.00000000e-01 -6.10059105e-03  6.10059785e-03  5.74160394e-10 -7.37927182e-09  1.39901698e-18 
 5.00000000e-01  5.00000000e-01  8.00000000e-01 -6.26901502e-03  6.26902181e-03  6.25332655e-10 -7.41514920e-09  4.39918638e-19 
 5.50000000e-01  5.50000000e-01  8.00000000e-01 -6.42902195e-03  6.42902874e-03  6.80783090e-10 -7.47207848e-09  2.54161273e-19 
 6.00000000e-01  6.00000000e-01  8.00000000e-01 -6.58418804e-03  6.58419485e-03  7.40839509e-10 -7.54661702e-09  8.93360438e-19 
 6.50000000e-01  6.50000000e-01  8.00000000e-01 -6.73643798e-03  6.73644481e-03  8.05863151e-10 -7.63622058e-09  1.30290687e-18 
 7.00000000e-01  7.00000000e-01  8.00000000e-01 -6.88688377e-03  6.88689063e-03  8.76247515e-10 -7.73899712e-09  8.48408135e-20 
 7.50000000e-01  7.50000000e-01  8.00000000e-01 -7.03620871e-03  7.03621561e-03  9.52418975e-10 -7.85356002e-09  2.59393500e-19 
 8.00000000e-01  8.00000000e-01  8.00000000e-01 -7.18486111e-03  7.18486805e-03  1.03483828e-09 -7.97888167e-09  3.09631901e-19 
 8.50000000e-01  8.50000000e-01  8.00000000e-01 -7.33316498e-03  7.33317196e-03  1.12400253e-09 -8.11074467e-09  6.83718543e-19 
 9.00000000e-01  9.00000000e-01  8.00000000e-01 -7.48139400e-03  7.48140102e-03  1.22044748e-09 -8.24613280e-09  9.64313923e-19 
 9.50000000e-01  9.50000000e-01  8.00000000e-01 -7.62982783e-03  7.62983489e-03  1.32475008e-09 -8.38412042e-09  2.52469254e-18 
 1.00000000e+00  1.00000000e+00  8.00000000e-01 -7.77879810e-03  7.77880519e-03  1.43753120e-09 -8.52351077e-09  1.33221780e-19 
 1.05000000e+00  1.05000000e+00  8.00000000e-01 -7.92872571e-03  7.92873282e-03  1.55945855e-09 -8.66275020e-09  2.55897380e-18 
 1.10000000e+00  1.10000000e+00  8.00000000e-01 -8.08014951e-03  8.08015662e-03  1.69124982e-09 -8.79984881e-09  7.58499599e-19 
 1.15000000e+00  1.15000000e+00  8.00000000e-01 -8.23374608e-03  8.23375318e-03  1.83367588e-09 -8.93228823e-09  8.36474814e-19 
 1.20000000e+00  1.20000000e+00  8.00000000e-01 -8.39034086e-03  8.39034793e-03  1.98756424e-09 -9.05691329e-09  1.88032133e-18 
 0.00000000e+00  0.00000000e+00  9.00000000e-01  7.47419135e-09  7.47419135e-09  1.34353702e-09 -1.62919197e-08  1.66648873e-18 
 5.00000000e-02  5.00000000e-02  9.00000000e-01 -1.56696597e-03  1.56698011e-03  1.45902528e-09 -1.55989374e-08  1.01557761e-18 
 1.00000000e-01  1.00000000e-01  9.00000000e-01 -2.92685971e-03  2.92687316e-03  1.58422833e-09 -1.50317138e-08  2.78740593e-18 
 1.50000000e-01  1.50000000e-01  9.00000000e-01 -4.09133930e-03  4.09135217e-03  1.71995479e-09 -1.45966392e-08  3.05295117e-18 
 2.00000000e-01  2.00000000e-01  9.00000000e-01 -5.06871281e-03  5.06872522e-03  1.86708945e-09 -1.42755295e-08  1.00229930e-18 
 2.50000000e-01  2.50000000e-01  9.00000000e-01 -5.86234243e-03  5.86235446e-03  2.02662288e-09 -1.40581887e-08  3.44311035e-18 
 3.00000000e-01  3.00000000e-01  9.00000000e-01 -6.47245447e-03  6.47246621e-03  2.19967795e-09 -1.39411370e-08  7.78870783e-19 
 3.50000000e-01  3.50000000e-01  9.00000000e-01 -6.91194032e-03  6.91195186e-03  2.38745825e-09 -1.39228969e-08  1.95324474e-18 
 4.00000000e-01  4.00000000e-01  9.00000000e-01 -7.22487234e-03  7.22488374e-03  2.59109101e-09 -1.39936480e-08  2.14298095e-19 
 4.50000000e-01  4.50000000e-01  9.00000000e-01 -7.46490008e-03  7.46491141e-03  2.81163867e-09 -1.41365485e-08  1.28642095e-18 
 5.00000000e-01  5.00000000e-01  9.00000000e-01 -7.66736768e-03  7.66737896e-03  3.05025630e-09 -1.43374688e-08  2.57008160e-18 
 5.50000000e-01  5.50000000e-01  9.00000000e-01 -7.85014884e-03  7.85016012e-03  3.30824332e-09 -1.45873322e-08  1.88840784e-19 
 6.00000000e-01  6.00000000e-01  9.00000000e-01 -8.02195262e-03  8.02196392e-03  3.58703096e-09 -1.48805224e-08  1.05412423e-18 
 6.50000000e-01  6.50000000e-01  9.00000000e-01 -8.18724195e-03  8.18725327e-03  3.88817006e-09 -1.52135236e-08  1.87607044e-19 
 7.00000000e-01  7.00000000e-01  9.00000000e-01 -8.34846583e-03  8.34847720e-03  4.21332759e-09 -1.55841839e-08  5.24371214e-18 
 7.50000000e-01  7.50000000e-01  9.00000000e-01 -8.50705774e-03  8.50706917e-03  4.56428784e-09 -1.59913249e-08  6.01041014e-19 
 8.00000000e-01  8.00000000e-01  9.00000000e-01 -8.66390715e-03  8.66391864e-03  4.94295613e-09 -1.64345172e-08  4.60613208e-18 
 8.50000000e-01  8.50000000e-01  9.00000000e-01 -8.81960169e-03  8.81961325e-03  5.35136353e-09 -1.69139410e-08  5.10504938e-18 
 9.00000000e-01  9.00000000e-01  9.00000000e-01 -8.97456672e-03  8.97457836e-03  5.79167222e-09 -1.74302412e-08  1.99511166e-18 
 9.50000000e-01  9.50000000e-01  9.00000000e-01 -9.12915826e-03  9.12916997e-03  6.26618106e-09 -1.79809810e-08  2.71685239e-18 
 1.00000000e+00  1.00000000e+00  9.00000000e-01 -9.28373302e-03  9.28374481e-03  6.77733132e-09 -1.85650341e-08  4.99825539e-19 
 1.05000000e+00  1.05000000e+00  9.00000000e-01 -9.43870478e-03  9.43871664e-03  7.32771238e-09 -1.91834756e-08  1.75994587e-18 
 1.10000000e+00  1.10000000e+00  9.00000000e-01 -9.59458943e-03  9.59460135e-03  7.92006753e-09 -1.98372228e-08  1.71682990e-19 
 1.15000000e+00  1.15000000e+00  9.00000000e-01 -9.75203891e-03  9.75205088e-03  8.55729945e-09 -2.05269509e-08  1.91658079e-18 
 1.20000000e+00  1.20000000e+00  9.00000000e-01 -9.91186393e-03  9.91187594e-03  9.24247575e-09 -2.12530159e-08  1.06908627e-18 
 0.00000000e+00  0.00000000e+00  1.00000000e+00  1.18722144e-08  1.18722144e-08  6.29829779e-09 -3.00427267e-08  1.13222001e-18 
 5.00000000e-02  5.00000000e-02  1.00000000e+00 -1.65826821e-03  1.65829074e-03  6.81889722e-09 -2.93537219e-08  1.92169773e-18 
 1.00000000e-01  1.00000000e-01  1.00000000e+00 -3.13028157e-03  3.13030306e-03  7.38039928e-09 -2.88670480e-08  1.81670038e-18 
 1.50000000e-01  1.50000000e-01  1.00000000e+00 -4.42542260e-03  4.42544321e-03  7.98576185e-09 -2.85986292e-08  2.81120309e-18 
 2.00000000e-01  2.00000000e-01  1.00000000e+00 -5.55104414e-03  5.55106403e-03  8.63812868e-09 -2.85227821e-08  8.38794228e-20 
 2.50000000e-01  2.50000000e-01  1.00000000e+00 -6.51125465e-03  6.51127393e-03  9.34085239e-09 -2.86239500e-08  9.58904162e-19 
 3.00000000e-01  3.00000000e-01  1.00000000e+00 -7.30561640e-03  7.30563520e-03  1.00975239e-08 -2.88946948e-08  3.32144118e-18 
 3.50000000e-01  3.50000000e-01  1.00000000e+00 -7.93097325e-03  7.93099167e-03  1.09119964e-08 -2.93357179e-08  4.24429516e-18 
 4.00000000e-01  4.00000000e-01  1.00000000e+00 -8.39517962e-03  8.39519778e-03  1.17883298e-08 -2.99496623e-08  1.32456762e-18 
 4.50000000e-01  4.50000000e-01  1.00000000e+00 -8.73388505e-03  8.73390305e-03  1.27306388e-08 -3.07280096e-08  1.58767558e-18 
 5.00000000e-01  5.00000000e-01  1.00000000e+00 -8.99521618e-03  8.99523409e-03  1.37430946e-08 -3.16519063e-08  3.88555850e-18 
 5.50000000e-01  5.50000000e-01  1.00000000e+00 -9.21423408e-03  9.21425195e-03  1.48300797e-08 -3.27048168e-08  3.05221043e-18 
 6.00000000e-01  6.00000000e-01  1.00000000e+00 -9.41014890e-03  9.41016678e-03  1.59962537e-08 -3.38768887e-08  6.50306237e-19 
 6.50000000e-01  6.50000000e-01  1.00000000e+00 -9.59281510e-03  9.59283302e-03  1.72465435e-08 -3.51633074e-08  3.66703724e-18 
 7.00000000e-01  7.00000000e-01  1.00000000e+00 -9.76744078e-03  9.76745876e-03  1.85861283e-08 -3.65624067e-08  5.52035195e-18 
 7.50000000e-01  7.50000000e-01  1.00000000e+00 -9.93693861e-03  9.93695666e-03  2.00204306e-08 -3.80745554e-08  2.85033866e-18 
 8.00000000e-01  8.00000000e-01  1.00000000e+00 -1.01030348e-02  1.01030530e-02  2.15551126e-08 -3.97015523e-08  2.30998458e-18 
 8.50000000e-01  8.50000000e-01  1.00000000e+00 -1.02668100e-02  1.02668283e-02  2.31960737e-08 -4.14462812e-08  1.20300185e-18 
 9.00000000e-01  9.00000000e-01  1.00000000e+00 -1.04289827e-02  1.04290010e-02  2.49494497e-08 -4.33124959e-08  2.15220153e-18 
 9.50000000e-01  9.50000000e-01  1.00000000e+00 -1.05900742e-02  1.05900927e-02  2.68216113e-08 -4.53046778e-08  3.73187827e-18 
 1.00000000e+00  1.00000000e+00  1.00000000e+00 -1.07505193e-02  1.07505379e-02  2.88191620e-08 -4.74278835e-08  1.00804200e-18 
 1.05000000e+00  1.05000000e+00  1.00000000e+00 -1.09107493e-02  1.09107680e-02  3.09489364e-08 -4.96841885e-08  1.66237495e-18 
 1.10000000e+00  1.10000000e+00  1.00000000e+00 -1.10712578e-02  1.10712766e-02  3.32179964e-08 -5.20770704e-08  1.26223791e-18 
 1.15000000e+00  1.15000000e+00  1.00000000e+00 -1.12326536e-02  1.12326726e-02  3.56336284e-08 -5.46122883e-08  8.24189527e-19 
 1.20000000e+00  1.20000000e+00  1.00000000e+00 -1.13956997e-02  1.13957188e-02  3.82033393e-08 -5.72955136e-08  7.74743979e-19 
 0.00000000e+00  0.00000000e+00  1.10000000e+00  1.82699410e-08  1.82699410e-08  2.65269705e-08 -6.30668526e-08  5.65543385e-18 
 5.00000000e-02  5.00000000e-02  1.10000000e+00 -1.72627074e-03  1.72630550e-03  2.85406999e-08 -6.33002932e-08  1.84084082e-19 
 1.00000000e-01  1.00000000e-01  1.10000000e+00 -3.28396824e-03  3.28400145e-03  3.06915256e-08 -6.38944891e-08  2.19434473e-18 
 1.50000000e-01  1.50000000e-01  1.10000000e+00 -4.68075081e-03  4.68078270e-03  3.29870934e-08 -6.48815028e-08  1.42897105e-18 
 2.00000000e-01  2.00000000e-01  1.10000000e+00 -5.92300078e-03  5.92303157e-03  3.54353174e-08 -6.62271959e-08  7.43112593e-19 
 2.50000000e-01  2.50000000e-01  1.10000000e+00 -7.01510014e-03  7.01513001e-03  3.80443864e-08 -6.79108299e-08  6.04178675e-18 
 3.00000000e-01  3.00000000e-01  1.10000000e+00 -7.95835602e-03  7.95838511e-03  4.08227743e-08 -6.99208145e-08  3.66593213e-19 
 3.50000000e-01  3.50000000e-01  1.10000000e+00 -8.74986699e-03  8.74989547e-03  4.37792574e-08 -7.22553396e-08  7.61059103e-19 
 4.00000000e-01  4.00000000e-01  1.10000000e+00 -9.38443217e-03  9.38446016e-03  4.69229223e-08 -7.49224527e-08  1.50062475e-18 
 4.50000000e-01  4.50000000e-01  1.10000000e+00 -9.86671924e-03  9.86674691e-03  5.02630943e-08 -7.79317373e-08  1.11854671e-18 
 5.00000000e-01  5.00000000e-01  1.10000000e+00 -1.02261902e-02  1.02262177e-02  5.38091796e-08 -8.12779497e-08  2.94092486e-19 
 5.50000000e-01  5.50000000e-01  1.10000000e+00 -1.05058991e-02  1.05059264e-02  5.75706500e-08 -8.49413464e-08  2.46565997e-19 
 6.00000000e-01  6.00000000e-01  1.10000000e+00 -1.07397892e-02  1.07398166e-02  6.15571807e-08 -8.89036014e-08  2.42363919e-18 
 6.50000000e-01  6.50000000e-01  1.10000000e+00 -1.09477548e-02  1.09477822e-02  6.57787161e-08 -9.31547096e-08  5.74518625e-18 
 7.00000000e-01  7.00000000e-01  1.10000000e+00 -1.11404849e-02  1.11405123e-02  7.02454573e-08 -9.76915009e-08  5.43350460e-18 
 7.50000000e-01  7.50000000e-01  1.10000000e+00 -1.13237961e-02  1.13238236e-02  7.49678382e-08 -1.02515159e-07  7.04440245e-19 
 8.00000000e-01  8.00000000e-01  1.10000000e+00 -1.15010023e-02  1.15010300e-02  7.99565077e-08 -1.07629622e-07  3.01170505e-18 
 8.50000000e-01  8.50000000e-01  1.10000000e+00 -1.16740918e-02  1.16741196e-02  8.52223189e-08 -1.13040689e-07  4.01538616e-18 
 9.00000000e-01  9.00000000e-01  1.10000000e+00 -1.18443200e-02  1.18443480e-02  9.07763225e-08 -1.18755502e-07  2.97477971e-18 
 9.50000000e-01  9.50000000e-01  1.10000000e+00 -1.20125271e-02  1.20125553e-02  9.66297613e-08 -1.24782236e-07  7.94045742e-18 
 1.00000000e+00  1.00000000e+00  1.10000000e+00 -1.21793250e-02  1.21793533e-02  1.02794068e-07 -1.31129895e-07  4.15689360e-18 
 1.05000000e+00  1.05000000e+00  1.10000000e+00 -1.23452238e-02  1.23452523e-02  1.09280862e-07 -1.37808171e-07  2.98962926e-18 
 1.10000000e+00  1.10000000e+00  1.10000000e+00 -1.25107268e-02  1.25107555e-02  1.16101951e-07 -1.44827294e-07  4.90410901e-18 
 1.15000000e+00  1.15000000e+00  1.10000000e+00 -1.26764061e-02  1.26764350e-02  1.23269331e-07 -1.52194476e-07  4.17296075e-19 
 1.20000000e+00  1.20000000e+00  1.10000000e+00 -1.28429621e-02  1.28429912e-02  1.30795188e-07 -1.59918300e-07  2.78395907e-18 
 0.00000000e+00  0.00000000e+00  1.20000000e+00  2.74212480e-08  2.74212480e-08  9.47371625e-08 -1.49579658e-07  2.13938023e-18 
 5.00000000e-02  5.00000000e-02  1.20000000e+00 -1.77788347e-03  1.77793573e-03  1.00940582e-07 -1.53198536e-07  9.38247808e-19 
 1.00000000e-01  1.00000000e-01  1.20000000e+00 -3.40222730e-03  3.40227728e-03  1.07480141e-07 -1.57462433e-07  2.74834398e-18 
 1.50000000e-01  1.50000000e-01  1.20000000e+00 -4.87936248e-03  4.87941054e-03  1.14368763e-07 -1.62425593e-07  5.03097866e-19 
 2.00000000e-01  2.00000000e-01  1.20000000e+00 -6.21478353e-03  6.21482995e-03  1.21619596e-07 -1.68041105e-07  2.94873345e-18 
 2.50000000e-01  2.50000000e-01  1.20000000e+00 -7.41271570e-03  7.41276073e-03  1.29246016e-07 -1.74280165e-07  3.17200604e-18 
 3.00000000e-01  3.00000000e-01  1.20000000e+00 -8.47546545e-03  8.47550931e-03  1.37261635e-07 -1.81124776e-07  3.23000133e-18 
 3.50000000e-01  3.50000000e-01  1.20000000e+00 -9.40239701e-03  9.40243989e-03  1.45680320e-07 -1.88567453e-07  1.09812528e-18 
 4.00000000e-01  4.00000000e-01  1.20000000e+00 -1.01889665e-02  1.01890086e-02  1.54516220e-07 -1.96612788e-07  7.26066054e-20 
 4.50000000e-01  4.50000000e-01  1.20000000e+00 -1.08287415e-02  1.08287830e-02  1.63783776e-07 -2.05277157e-07  1.16504088e-18 
 5.00000000e-01  5.00000000e-01  1.20000000e+00 -1.13243423e-02  1.13243834e-02  1.73497663e-07 -2.14577652e-07  2.96874460e-18 
 5.50000000e-01  5.50000000e-01  1.20000000e+00 -1.17006175e-02  1.17006583e-02  1.83672649e-07 -2.24511928e-07  4.53819077e-18 
 6.00000000e-01  6.00000000e-01  1.20000000e+00 -1.19961667e-02  1.19962075e-02  1.94323594e-07 -2.35058116e-07  4.34834951e-18 
 6.50000000e-01  6.50000000e-01  1.20000000e+00 -1.22433971e-02  1.22434379e-02  2.05465596e-07 -2.46194494e-07  3.85135293e-19 
