 v-sweep         v(drain_iv)     v(gate_iv)      id              is              ib              ig              kcl_error      
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.10759669e-61  1.92770810e-63 -1.18989858e-61  6.30248047e-63  1.72723371e-77 
 1.00000000e-01  1.00000000e-01  0.00000000e+00 -1.92337286e-08  1.92252689e-08  9.89975934e-15  8.44979477e-12  1.10843004e-24 
 2.00000000e-01  2.00000000e-01  0.00000000e+00 -2.86561471e-08  2.86159057e-08  1.02293189e-14  4.02312058e-11  3.14377952e-24 
 3.00000000e-01  3.00000000e-01  0.00000000e+00 -4.18635331e-08  4.17519808e-08  1.03791269e-14  1.11541898e-10  4.00847678e-24 
 4.00000000e-01  4.00000000e-01  0.00000000e+00 -6.09007163e-08  6.06541910e-08  1.05589299e-14  2.46514729e-10  7.51783180e-24 
 5.00000000e-01  5.00000000e-01  0.00000000e+00 -8.83975497e-08  8.79169719e-08  1.07940327e-14  4.80567071e-10  1.97172407e-23 
 6.00000000e-01  6.00000000e-01  0.00000000e+00 -1.28085865e-07  1.27220864e-07  1.11176720e-14  8.64989489e-10  1.44091298e-23 
 7.00000000e-01  7.00000000e-01  0.00000000e+00 -1.85304823e-07  1.83831565e-07  1.15811941e-14  1.47324601e-09  1.63644935e-23 
 8.00000000e-01  8.00000000e-01  0.00000000e+00 -2.67728230e-07  2.65318628e-07  1.22634473e-14  2.40958914e-09  5.63773393e-23 
 9.00000000e-01  9.00000000e-01  0.00000000e+00 -3.86457938e-07  3.82637128e-07  1.32845524e-14  3.82079622e-09  1.52575016e-22 
 1.00000000e+00  1.00000000e+00  0.00000000e+00 -5.57681352e-07  5.51769173e-07  7.43796220e-14  5.91210411e-09  1.16338556e-22 
 1.10000000e+00  1.10000000e+00  0.00000000e+00 -8.05190459e-07  7.96212740e-07  8.94144826e-12  8.96877767e-09  3.30516816e-23 
 1.20000000e+00  1.20000000e+00  0.00000000e+00 -1.16788545e-06  1.15074030e-06  3.75992119e-09  1.33852220e-08  5.45939204e-22 
 0.00000000e+00  0.00000000e+00  1.00000000e-01  6.54400799e-12  6.54400799e-12  1.18775014e-14 -1.30998936e-11  8.08082232e-20 
 1.00000000e-01  1.00000000e-01  1.00000000e-01 -2.99398103e-07  2.99404637e-07  2.19120026e-14 -6.55593201e-12  2.34006135e-19 
 2.00000000e-01  2.00000000e-01  1.00000000e-01 -4.42633082e-07  4.42631165e-07  2.25992917e-14  1.89386007e-12  1.47062822e-19 
 3.00000000e-01  3.00000000e-01  1.00000000e-01 -6.40747220e-07  6.40713521e-07  2.34018657e-14  3.36752672e-11  1.07188563e-19 
 4.00000000e-01  4.00000000e-01  1.00000000e-01 -9.22328766e-07  9.22223755e-07  2.47081354e-14  1.04985953e-10  8.77387986e-21 
 5.00000000e-01  5.00000000e-01  1.00000000e-01 -1.32273431e-06  1.32249433e-06  2.68218845e-14  2.39958776e-10  2.05520630e-19 
 6.00000000e-01  6.00000000e-01  1.00000000e-01 -1.89061827e-06  1.89014423e-06  3.01997375e-14  4.74011105e-10  5.91556812e-21 
 7.00000000e-01  7.00000000e-01  1.00000000e-01 -2.69331349e-06  2.69245502e-06  3.55276132e-14  8.58433507e-10  8.08915078e-20 
 8.00000000e-01  8.00000000e-01  1.00000000e-01 -3.82412038e-06  3.82265365e-06  4.38228752e-14  1.46669000e-09  5.02260220e-20 
 9.00000000e-01  9.00000000e-01  1.00000000e-01 -5.41277289e-06  5.41036980e-06  5.65753057e-14  2.40303310e-09  5.91245745e-20 
 1.00000000e+00  1.00000000e+00  1.00000000e-01 -7.64056026e-06  7.63674514e-06  8.85926127e-13  3.81424013e-09  1.26933173e-19 
 1.10000000e+00  1.10000000e+00  1.00000000e-01 -1.07620138e-05  1.07560831e-05  2.52287287e-11  5.90554797e-09  3.94679148e-20 
 1.20000000e+00  1.20000000e+00  1.00000000e-01 -1.51358572e-05  1.51264508e-05  4.44214754e-10  8.96222144e-09  1.41142862e-19 
 0.00000000e+00  0.00000000e+00  2.00000000e-01  3.45589206e-11  3.45589206e-11  3.31997288e-14 -6.91510412e-11  3.54560423e-19 
 1.00000000e-01  1.00000000e-01  2.00000000e-01 -4.22794564e-06  4.22798673e-06  4.51613509e-14 -4.11405688e-11  4.94260790e-19 
 2.00000000e-01  2.00000000e-01  2.00000000e-01 -6.12070122e-06  6.12073577e-06  5.07657800e-14 -3.45967018e-11  3.36724379e-19 
 3.00000000e-01  3.00000000e-01  2.00000000e-01 -8.65051268e-06  8.65053877e-06  6.01953344e-14 -2.61470502e-11  1.73306892e-19 
 4.00000000e-01  4.00000000e-01  2.00000000e-01 -1.21215372e-05  1.21215314e-05  7.57938908e-14  5.63416631e-12  3.79786838e-19 
 5.00000000e-01  5.00000000e-01  2.00000000e-01 -1.68701725e-05  1.68700955e-05  1.00730823e-13  7.69445974e-11  1.72250675e-21 
 6.00000000e-01  6.00000000e-01  2.00000000e-01 -2.33252460e-05  2.33250339e-05  1.39519310e-13  2.11917085e-10  2.98286081e-19 
 7.00000000e-01  7.00000000e-01  2.00000000e-01 -3.20357290e-05  3.20352829e-05  1.98465183e-13  4.45968977e-10  2.47376002e-19 
 8.00000000e-01  8.00000000e-01  2.00000000e-01 -4.37026185e-05  4.37017879e-05  2.86208353e-13  8.30390811e-10  1.77240190e-19 
 9.00000000e-01  9.00000000e-01  2.00000000e-01 -5.92211999e-05  5.92197609e-05  4.14347857e-13  1.43864658e-09  9.82513864e-19 
 1.00000000e+00  1.00000000e+00  2.00000000e-01 -7.97366174e-05  7.97342346e-05  7.80351017e-12  2.37498874e-09  6.50994745e-19 
 1.10000000e+00  1.10000000e+00  2.00000000e-01 -1.06713497e-04  1.06709496e-04  2.14292489e-10  3.78619460e-09  3.87356066e-19 
 1.20000000e+00  1.20000000e+00  2.00000000e-01 -1.42019865e-04  1.42010491e-04  3.49672708e-09  5.87750096e-09  4.04148040e-19 
 0.00000000e+00  0.00000000e+00  3.00000000e-01  9.95335563e-11  9.95335563e-11  7.27822928e-14 -1.99139896e-10  7.11816280e-19 
 1.00000000e-01  1.00000000e-01  3.00000000e-01 -4.63977029e-05  4.63978373e-05  1.05051331e-13 -1.34492330e-10  2.15514021e-19 
 2.00000000e-01  2.00000000e-01  3.00000000e-01 -6.44005460e-05  6.44006523e-05  1.60000514e-13 -1.06484559e-10  3.53733747e-19 
 3.00000000e-01  3.00000000e-01  3.00000000e-01 -8.67866463e-05  8.67867460e-05  2.49654776e-13 -9.99451129e-11  8.53949434e-19 
 4.00000000e-01  4.00000000e-01  3.00000000e-01 -1.15506861e-04  1.15506952e-04  3.88086123e-13 -9.15011738e-11  7.91890967e-19 
 5.00000000e-01  5.00000000e-01  3.00000000e-01 -1.52089386e-04  1.52089446e-04  5.93704046e-13 -5.97270445e-11  1.40061532e-19 
 6.00000000e-01  6.00000000e-01  3.00000000e-01 -1.98114515e-04  1.98114503e-04  8.89436098e-13  1.15747394e-11  3.81165967e-21 
 7.00000000e-01  7.00000000e-01  3.00000000e-01 -2.55206959e-04  2.55206811e-04  1.30272393e-12  1.46536795e-10  4.90461355e-19 
 8.00000000e-01  8.00000000e-01  3.00000000e-01 -3.24999556e-04  3.24999174e-04  1.86511711e-12  3.80576215e-10  1.12290199e-19 
 9.00000000e-01  9.00000000e-01  3.00000000e-01 -4.09128150e-04  4.09127383e-04  2.61139878e-12  7.64983245e-10  5.99489935e-19 
 1.00000000e+00  1.00000000e+00  3.00000000e-01 -5.09278006e-04  5.09276607e-04  2.50181164e-11  1.37322156e-09  5.22804449e-20 
 1.10000000e+00  1.10000000e+00  3.00000000e-01 -6.27282527e-04  6.27279553e-04  6.64343056e-10  2.30954324e-09  1.05180875e-18 
 1.20000000e+00  1.20000000e+00  3.00000000e-01 -7.65266578e-04  7.65252489e-04  1.03682667e-08  3.72072516e-09  4.31273773e-19 
 0.00000000e+00  0.00000000e+00  4.00000000e-01  2.41164090e-10  2.41164090e-10  1.89568524e-13 -4.82517749e-10  4.05321050e-19 
 1.00000000e-01  1.00000000e-01  4.00000000e-01 -3.22697690e-04  3.22698048e-04  3.28346003e-13 -3.58181882e-10  2.88320361e-19 
 2.00000000e-01  2.00000000e-01  4.00000000e-01 -4.22762009e-04  4.22762303e-04  6.59616756e-13 -2.93817641e-10  5.70070758e-19 
 3.00000000e-01  3.00000000e-01  4.00000000e-01 -5.27491619e-04  5.27491884e-04  1.15043265e-12 -2.66219946e-10  8.33150514e-19 
 4.00000000e-01  4.00000000e-01  4.00000000e-01 -6.46149543e-04  6.46149801e-04  1.82587151e-12 -2.60154859e-10  8.44996980e-19 
 5.00000000e-01  5.00000000e-01  4.00000000e-01 -7.80006903e-04  7.80007152e-04  2.71814397e-12 -2.52239913e-10  3.20115552e-19 
 6.00000000e-01  6.00000000e-01  4.00000000e-01 -9.29178487e-04  9.29178704e-04  3.85962062e-12 -2.21046512e-10  2.06677878e-18 
 7.00000000e-01  7.00000000e-01  4.00000000e-01 -1.09330516e-03  1.09330531e-03  5.28111035e-12 -1.50375839e-10  1.13304750e-18 
 8.00000000e-01  8.00000000e-01  4.00000000e-01 -1.27185810e-03  1.27185811e-03  7.01095506e-12 -1.60944834e-11  7.43965561e-19 
 9.00000000e-01  9.00000000e-01  4.00000000e-01 -1.46446635e-03  1.46446613e-03  9.07455798e-12  2.17215077e-10  9.04050153e-19 
 1.00000000e+00  1.00000000e+00  4.00000000e-01 -1.67127353e-03  1.67127291e-03  1.95846736e-11  6.00843128e-10  5.85207901e-19 
 1.10000000e+00  1.10000000e+00  4.00000000e-01 -1.89325862e-03  1.89325684e-03  5.74232690e-10  1.20825287e-09  2.32759370e-18 
 1.20000000e+00  1.20000000e+00  4.00000000e-01 -2.13247309e-03  2.13246117e-03  9.78253713e-09  2.14369530e-09  7.70502197e-19 
 0.00000000e+00  0.00000000e+00  5.00000000e-01  6.17957049e-10  6.17957049e-10  8.00642137e-13 -1.23671474e-09  1.69060851e-18 
 1.00000000e-01  1.00000000e-01  5.00000000e-01 -1.09421963e-03  1.09422064e-03  1.14728479e-12 -1.01490027e-09  2.34073514e-18 
 2.00000000e-01  2.00000000e-01  5.00000000e-01 -1.40533034e-03  1.40533123e-03  2.13536431e-12 -8.94039436e-10  4.92118647e-19 
 3.00000000e-01  3.00000000e-01  5.00000000e-01 -1.62605894e-03  1.62605978e-03  3.55281993e-12 -8.35345062e-10  4.36576302e-19 
 4.00000000e-01  4.00000000e-01  5.00000000e-01 -1.84393612e-03  1.84393693e-03  5.32387908e-12 -8.14027746e-10  2.76670376e-19 
 5.00000000e-01  5.00000000e-01  5.00000000e-01 -2.06741370e-03  2.06741451e-03  7.45945255e-12 -8.14616841e-10  1.09357438e-18 
 6.00000000e-01  6.00000000e-01  5.00000000e-01 -2.29774033e-03  2.29774113e-03  9.98048903e-12 -8.13659213e-10  1.36027406e-18 
 7.00000000e-01  7.00000000e-01  5.00000000e-01 -2.53482142e-03  2.53482220e-03  1.29096082e-11 -7.89699263e-10  9.93655705e-19 
 8.00000000e-01  8.00000000e-01  5.00000000e-01 -2.77839415e-03  2.77839486e-03  1.62699788e-11 -7.26528070e-10  3.44453662e-19 
 9.00000000e-01  9.00000000e-01  5.00000000e-01 -3.02861843e-03  3.02861901e-03  2.00854843e-11 -6.00011422e-10  1.07675678e-18 
 1.00000000e+00  1.00000000e+00  5.00000000e-01 -3.28656209e-03  3.28656244e-03  2.43812524e-11 -3.74737659e-10  1.55306077e-18 
