 v-sweep         v(vdd_therm)    v(gate_therm)   id_therm        power           efficiency     
 0.00000000e+00  0.00000000e+00  0.00000000e+00  2.04140573e-24  0.00000000e+00  4.16733737e-30 
 1.00000000e-01  1.00000000e-01  0.00000000e+00 -1.92321119e-08 -1.92321119e-09 -9.99808199e-01 
 2.00000000e-01  2.00000000e-01  0.00000000e+00 -2.86530014e-08 -5.73060028e-09 -9.99856909e-01 
 3.00000000e-01  3.00000000e-01  0.00000000e+00 -4.18569391e-08 -1.25570817e-08 -9.99860556e-01 
 4.00000000e-01  4.00000000e-01  0.00000000e+00 -6.08868653e-08 -2.43547461e-08 -9.99847824e-01 
 5.00000000e-01  5.00000000e-01  0.00000000e+00 -8.83685198e-08 -4.41842599e-08 -9.99823286e-01 
 6.00000000e-01  6.00000000e-01  0.00000000e+00 -1.28025197e-07 -7.68151181e-08 -9.99786638e-01 
 7.00000000e-01  7.00000000e-01  0.00000000e+00 -1.85178387e-07 -1.29624871e-07 -9.99735467e-01 
 8.00000000e-01  8.00000000e-01  0.00000000e+00 -2.67465253e-07 -2.13972202e-07 -9.99665673e-01 
 9.00000000e-01  9.00000000e-01  0.00000000e+00 -3.85911303e-07 -3.47320173e-07 -9.99571213e-01 
 1.00000000e+00  1.00000000e+00  0.00000000e+00 -5.56543808e-07 -5.56543808e-07 -9.99443458e-01 
 1.10000000e+00  1.10000000e+00  0.00000000e+00 -8.02815794e-07 -8.83097373e-07 -9.99270169e-01 
 1.20000000e+00  1.20000000e+00  0.00000000e+00 -1.16269195e-06 -1.39523034e-06 -9.99031091e-01 
 0.00000000e+00  0.00000000e+00  1.00000000e-01  6.48864786e-12  0.00000000e+00  4.21025510e-05 
 1.00000000e-01  1.00000000e-01  1.00000000e-01 -2.99013103e-07 -2.99013103e-08 -9.97009902e-01 
 2.00000000e-01  2.00000000e-01  1.00000000e-01 -4.41900686e-07 -8.83801373e-08 -9.97790508e-01 
 3.00000000e-01  3.00000000e-01  1.00000000e-01 -6.39247789e-07 -1.91774337e-07 -9.97869179e-01 
 4.00000000e-01  4.00000000e-01  1.00000000e-01 -9.19261958e-07 -3.67704783e-07 -9.97701848e-01 
 5.00000000e-01  5.00000000e-01  1.00000000e-01 -1.31649938e-06 -6.58249691e-07 -9.97367003e-01 
 6.00000000e-01  6.00000000e-01  1.00000000e-01 -1.87803495e-06 -1.12682097e-06 -9.96869943e-01 
 7.00000000e-01  7.00000000e-01  1.00000000e-01 -2.66811882e-06 -1.86768317e-06 -9.96188402e-01 
 8.00000000e-01  8.00000000e-01  1.00000000e-01 -3.77408043e-06 -3.01926434e-06 -9.95282400e-01 
 9.00000000e-01  9.00000000e-01  1.00000000e-01 -5.31414075e-06 -4.78272667e-06 -9.94095399e-01 
 1.00000000e+00  1.00000000e+00  1.00000000e-01 -7.44751698e-06 -7.44751698e-06 -9.92552483e-01 
 1.10000000e+00  1.10000000e+00  1.00000000e-01 -1.03866839e-05 -1.14253522e-05 -9.90557560e-01 
 1.20000000e+00  1.20000000e+00  1.00000000e-01 -1.44109137e-05 -1.72930964e-05 -9.87990905e-01 
 0.00000000e+00  0.00000000e+00  2.00000000e-01  3.08002535e-11  0.00000000e+00  9.48655616e-04 
 1.00000000e-01  1.00000000e-01  2.00000000e-01 -4.15564211e-06 -4.15564211e-07 -9.58443581e-01 
 2.00000000e-01  2.00000000e-01  2.00000000e-01 -5.99269571e-06 -1.19853914e-06 -9.70036522e-01 
 3.00000000e-01  3.00000000e-01  2.00000000e-01 -8.40577723e-06 -2.52173317e-06 -9.71980743e-01 
 4.00000000e-01  4.00000000e-01  2.00000000e-01 -1.16582573e-05 -4.66330292e-06 -9.70854357e-01 
 5.00000000e-01  5.00000000e-01  2.00000000e-01 -1.60077461e-05 -8.00387307e-06 -9.67984508e-01 
 6.00000000e-01  6.00000000e-01  2.00000000e-01 -2.17503675e-05 -1.30502205e-05 -9.63749388e-01 
 7.00000000e-01  7.00000000e-01  2.00000000e-01 -2.92193650e-05 -2.04535555e-05 -9.58258050e-01 
 8.00000000e-01  8.00000000e-01  2.00000000e-01 -3.87755560e-05 -3.10204448e-05 -9.51530555e-01 
 9.00000000e-01  9.00000000e-01  2.00000000e-01 -5.07929403e-05 -4.57136463e-05 -9.43563400e-01 
 1.00000000e+00  1.00000000e+00  2.00000000e-01 -6.56402290e-05 -6.56402290e-05 -9.34359771e-01 
 1.10000000e+00  1.10000000e+00  2.00000000e-01 -8.36590990e-05 -9.20250089e-05 -9.23946274e-01 
 1.20000000e+00  1.20000000e+00  2.00000000e-01 -1.05141299e-04 -1.26169559e-04 -9.12382251e-01 
 0.00000000e+00  0.00000000e+00  3.00000000e-01  4.30124725e-11  0.00000000e+00  1.85007279e-03 
 1.00000000e-01  1.00000000e-01  3.00000000e-01 -3.88037754e-05 -3.88037754e-06 -6.11962247e-01 
 2.00000000e-01  2.00000000e-01  3.00000000e-01 -5.42974105e-05 -1.08594821e-05 -7.28512948e-01 
 3.00000000e-01  3.00000000e-01  3.00000000e-01 -7.04486260e-05 -2.11345878e-05 -7.65171247e-01 
 4.00000000e-01  4.00000000e-01  3.00000000e-01 -8.94827646e-05 -3.57931059e-05 -7.76293088e-01 
 5.00000000e-01  5.00000000e-01  3.00000000e-01 -1.11753369e-04 -5.58766846e-05 -7.76493262e-01 
 6.00000000e-01  6.00000000e-01  3.00000000e-01 -1.37391473e-04 -8.24348840e-05 -7.71014211e-01 
 7.00000000e-01  7.00000000e-01  3.00000000e-01 -1.66414060e-04 -1.16489842e-04 -7.62265628e-01 
 8.00000000e-01  8.00000000e-01  3.00000000e-01 -1.98754266e-04 -1.59003413e-04 -7.51557167e-01 
 9.00000000e-01  9.00000000e-01  3.00000000e-01 -2.34284599e-04 -2.10856139e-04 -7.39683779e-01 
