 frequency       freq            flicker_noise  
 1.00000000e+00  1.00000000e+00  1.35641834e-08 
 1.12201845e+00  1.12201845e+00  1.35641140e-08 
 1.25892541e+00  1.25892541e+00  1.35640268e-08 
 1.41253754e+00  1.41253754e+00  1.35639169e-08 
 1.58489319e+00  1.58489319e+00  1.35637786e-08 
 1.77827941e+00  1.77827941e+00  1.35636045e-08 
 1.99526231e+00  1.99526231e+00  1.35633853e-08 
 2.23872114e+00  2.23872114e+00  1.35631094e-08 
 2.51188643e+00  2.51188643e+00  1.35627620e-08 
 2.81838293e+00  2.81838293e+00  1.35623248e-08 
 3.16227766e+00  3.16227766e+00  1.35617744e-08 
 3.54813389e+00  3.54813389e+00  1.35610816e-08 
 3.98107171e+00  3.98107171e+00  1.35602095e-08 
 4.46683592e+00  4.46683592e+00  1.35591119e-08 
 5.01187234e+00  5.01187234e+00  1.35577305e-08 
 5.62341325e+00  5.62341325e+00  1.35559920e-08 
 6.30957344e+00  6.30957344e+00  1.35538043e-08 
 7.07945784e+00  7.07945784e+00  1.35510516e-08 
 7.94328235e+00  7.94328235e+00  1.35475886e-08 
 8.91250938e+00  8.91250938e+00  1.35432327e-08 
 1.00000000e+01  1.00000000e+01  1.35377550e-08 
 1.12201845e+01  1.12201845e+01  1.35308683e-08 
 1.25892541e+01  1.25892541e+01  1.35222135e-08 
 1.41253754e+01  1.41253754e+01  1.35113412e-08 
 1.58489319e+01  1.58489319e+01  1.34976911e-08 
 1.77827941e+01  1.77827941e+01  1.34805653e-08 
 1.99526231e+01  1.99526231e+01  1.34590976e-08 
 2.23872114e+01  2.23872114e+01  1.34322166e-08 
 2.51188643e+01  2.51188643e+01  1.33986033e-08 
 2.81838293e+01  2.81838293e+01  1.33566434e-08 
 3.16227766e+01  3.16227766e+01  1.33043753e-08 
 3.54813389e+01  3.54813389e+01  1.32394379e-08 
 3.98107171e+01  3.98107171e+01  1.31590228e-08 
 4.46683592e+01  4.46683592e+01  1.30598394e-08 
 5.01187234e+01  5.01187234e+01  1.29381064e-08 
 5.62341325e+01  5.62341325e+01  1.27895869e-08 
 6.30957344e+01  6.30957344e+01  1.26096873e-08 
 7.07945784e+01  7.07945784e+01  1.23936449e-08 
 7.94328235e+01  7.94328235e+01  1.21368229e-08 
 8.91250938e+01  8.91250938e+01  1.18351183e-08 
 1.00000000e+02  1.00000000e+02  1.14854686e-08 
 1.12201845e+02  1.12201845e+02  1.10864057e-08 
 1.25892541e+02  1.25892541e+02  1.06385700e-08 
 1.41253754e+02  1.41253754e+02  1.01450724e-08 
 1.58489319e+02  1.58489319e+02  9.61159329e-09 
 1.77827941e+02  1.77827941e+02  9.04614984e-09 
 1.99526231e+02  1.99526231e+02  8.45853406e-09 
 2.23872114e+02  2.23872114e+02  7.85951156e-09 
 2.51188643e+02  2.51188643e+02  7.25992764e-09 
 2.81838293e+02  2.81838293e+02  6.66988192e-09 
 3.16227766e+02  3.16227766e+02  6.09809694e-09 
 3.54813389e+02  3.54813389e+02  5.55154246e-09 
 3.98107171e+02  3.98107171e+02  5.03531252e-09 
 4.46683592e+02  4.46683592e+02  4.55270601e-09 
 5.01187234e+02  5.01187234e+02  4.10544195e-09 
 5.62341325e+02  5.62341325e+02  3.69394212e-09 
 6.30957344e+02  6.30957344e+02  3.31762821e-09 
 7.07945784e+02  7.07945784e+02  2.97519845e-09 
 7.94328235e+02  7.94328235e+02  2.66486519e-09 
 8.91250938e+02  8.91250938e+02  2.38454693e-09 
 1.00000000e+03  1.00000000e+03  2.13201601e-09 
 1.12201845e+03  1.12201845e+03  1.90500712e-09 
 1.25892541e+03  1.25892541e+03  1.70129364e-09 
 1.41253754e+03  1.41253754e+03  1.51873841e-09 
 1.58489319e+03  1.58489319e+03  1.35532539e-09 
 1.77827941e+03  1.77827941e+03  1.20917708e-09 
 1.99526231e+03  1.99526231e+03  1.07856195e-09 
 2.23872114e+03  2.23872114e+03  9.61894952e-10 
 2.51188643e+03  2.51188643e+03  8.57733449e-10 
 2.81838293e+03  2.81838293e+03  7.64770273e-10 
 3.16227766e+03  3.16227766e+03  6.81825142e-10 
 3.54813389e+03  3.54813389e+03  6.07835251e-10 
 3.98107171e+03  3.98107171e+03  5.41845638e-10 
 4.46683592e+03  4.46683592e+03  4.82999697e-10 
 5.01187234e+03  5.01187234e+03  4.30530072e-10 
 5.62341325e+03  5.62341325e+03  3.83750088e-10 
 6.30957344e+03  6.30957344e+03  3.42045780e-10 
 7.07945784e+03  7.07945784e+03  3.04868558e-10 
 7.94328235e+03  7.94328235e+03  2.71728504e-10 
 8.91250938e+03  8.91250938e+03  2.42188279e-10 
 1.00000000e+04  1.00000000e+04  2.15857608e-10 
 1.12201845e+04  1.12201845e+04  1.92388306e-10 
 1.25892541e+04  1.25892541e+04  1.71469805e-10 
 1.41253754e+04  1.41253754e+04  1.52825136e-10 
 1.58489319e+04  1.58489319e+04  1.36207324e-10 
 1.77827941e+04  1.77827941e+04  1.21396164e-10 
 1.99526231e+04  1.99526231e+04  1.08195336e-10 
 2.23872114e+04  2.23872114e+04  9.64298257e-11 
 2.51188643e+04  2.51188643e+04  8.59436193e-11 
 2.81838293e+04  2.81838293e+04  7.65976476e-11 
 3.16227766e+04  3.16227766e+04  6.82679491e-11 
 3.54813389e+04  3.54813389e+04  6.08440322e-11 
 3.98107171e+04  3.98107171e+04  5.42274130e-11 
 4.46683592e+04  4.46683592e+04  4.83303121e-11 
 5.01187234e+04  5.01187234e+04  4.30744922e-11 
 5.62341325e+04  5.62341325e+04  3.83902214e-11 
 6.30957344e+04  6.30957344e+04  3.42153490e-11 
 7.07945784e+04  7.07945784e+04  3.04944819e-11 
 7.94328235e+04  7.94328235e+04  2.71782497e-11 
 8.91250938e+04  8.91250938e+04  2.42226506e-11 
 1.00000000e+05  1.00000000e+05  2.15884671e-11 
 1.12201845e+05  1.12201845e+05  1.92407466e-11 
 1.25892541e+05  1.25892541e+05  1.71483370e-11 
 1.41253754e+05  1.41253754e+05  1.52834739e-11 
 1.58489319e+05  1.58489319e+05  1.36214123e-11 
 1.77827941e+05  1.77827941e+05  1.21400977e-11 
 1.99526231e+05  1.99526231e+05  1.08198744e-11 
 2.23872114e+05  2.23872114e+05  9.64322382e-12 
 2.51188643e+05  2.51188643e+05  8.59453272e-12 
 2.81838293e+05  2.81838293e+05  7.65988566e-12 
 3.16227766e+05  3.16227766e+05  6.82688051e-12 
 3.54813389e+05  3.54813389e+05  6.08446382e-12 
 3.98107171e+05  3.98107171e+05  5.42278420e-12 
 4.46683592e+05  4.46683592e+05  4.83306158e-12 
 5.01187234e+05  5.01187234e+05  4.30747073e-12 
 5.62341325e+05  5.62341325e+05  3.83903736e-12 
 6.30957344e+05  6.30957344e+05  3.42154568e-12 
 7.07945784e+05  7.07945784e+05  3.04945582e-12 
 7.94328235e+05  7.94328235e+05  2.71783037e-12 
 8.91250938e+05  8.91250938e+05  2.42226888e-12 
 1.00000000e+06  1.00000000e+06  2.15884942e-12 
 1.12201845e+06  1.12201845e+06  1.92407657e-12 
 1.25892541e+06  1.25892541e+06  1.71483506e-12 
 1.41253754e+06  1.41253754e+06  1.52834835e-12 
 1.58489319e+06  1.58489319e+06  1.36214191e-12 
 1.77827941e+06  1.77827941e+06  1.21401025e-12 
 1.99526231e+06  1.99526231e+06  1.08198778e-12 
 2.23872114e+06  2.23872114e+06  9.64322623e-13 
 2.51188643e+06  2.51188643e+06  8.59453443e-13 
 2.81838293e+06  2.81838293e+06  7.65988687e-13 
 3.16227766e+06  3.16227766e+06  6.82688136e-13 
 3.54813389e+06  3.54813389e+06  6.08446442e-13 
 3.98107171e+06  3.98107171e+06  5.42278463e-13 
 4.46683592e+06  4.46683592e+06  4.83306189e-13 
 5.01187234e+06  5.01187234e+06  4.30747094e-13 
 5.62341325e+06  5.62341325e+06  3.83903752e-13 
 6.30957344e+06  6.30957344e+06  3.42154579e-13 
 7.07945784e+06  7.07945784e+06  3.04945589e-13 
 7.94328235e+06  7.94328235e+06  2.71783043e-13 
 8.91250938e+06  8.91250938e+06  2.42226892e-13 
 1.00000000e+07  1.00000000e+07  2.15884945e-13 
 1.12201845e+07  1.12201845e+07  1.92407659e-13 
 1.25892541e+07  1.25892541e+07  1.71483507e-13 
 1.41253754e+07  1.41253754e+07  1.52834836e-13 
 1.58489319e+07  1.58489319e+07  1.36214191e-13 
 1.77827941e+07  1.77827941e+07  1.21401026e-13 
 1.99526231e+07  1.99526231e+07  1.08198778e-13 
 2.23872114e+07  2.23872114e+07  9.64322626e-14 
 2.51188643e+07  2.51188643e+07  8.59453445e-14 
 2.81838293e+07  2.81838293e+07  7.65988690e-14 
 3.16227766e+07  3.16227766e+07  6.82688138e-14 
 3.54813389e+07  3.54813389e+07  6.08446444e-14 
 3.98107171e+07  3.98107171e+07  5.42278464e-14 
 4.46683592e+07  4.46683592e+07  4.83306190e-14 
 5.01187234e+07  5.01187234e+07  4.30747096e-14 
 5.62341325e+07  5.62341325e+07  3.83903754e-14 
 6.30957344e+07  6.30957344e+07  3.42154581e-14 
 7.07945784e+07  7.07945784e+07  3.04945592e-14 
 7.94328235e+07  7.94328235e+07  2.71783045e-14 
 8.91250938e+07  8.91250938e+07  2.42226895e-14 
 1.00000000e+08  1.00000000e+08  2.15884948e-14 
 1.12201845e+08  1.12201845e+08  1.92407663e-14 
 1.25892541e+08  1.25892541e+08  1.71483511e-14 
 1.41253754e+08  1.41253754e+08  1.52834841e-14 
 1.58489319e+08  1.58489319e+08  1.36214197e-14 
 1.77827941e+08  1.77827941e+08  1.21401032e-14 
 1.99526231e+08  1.99526231e+08  1.08198785e-14 
 2.23872114e+08  2.23872114e+08  9.64322699e-15 
 2.51188643e+08  2.51188643e+08  8.59453527e-15 
 2.81838293e+08  2.81838293e+08  7.65988782e-15 
 3.16227766e+08  3.16227766e+08  6.82688242e-15 
 3.54813389e+08  3.54813389e+08  6.08446560e-15 
 3.98107171e+08  3.98107171e+08  5.42278594e-15 
 4.46683592e+08  4.46683592e+08  4.83306336e-15 
 5.01187234e+08  5.01187234e+08  4.30747260e-15 
 5.62341325e+08  5.62341325e+08  3.83903937e-15 
 6.30957344e+08  6.30957344e+08  3.42154787e-15 
 7.07945784e+08  7.07945784e+08  3.04945823e-15 
 7.94328235e+08  7.94328235e+08  2.71783305e-15 
 8.91250938e+08  8.91250938e+08  2.42227186e-15 
 1.00000000e+09  1.00000000e+09  2.15885274e-15 
