 frequency       freq            output_noise   
 1.00000000e+00  1.00000000e+00  1.22202243e-09 
 1.12201845e+00  1.12201845e+00  1.22202238e-09 
 1.25892541e+00  1.25892541e+00  1.22202231e-09 
 1.41253754e+00  1.41253754e+00  1.22202223e-09 
 1.58489319e+00  1.58489319e+00  1.22202213e-09 
 1.77827941e+00  1.77827941e+00  1.22202200e-09 
 1.99526231e+00  1.99526231e+00  1.22202184e-09 
 2.23872114e+00  2.23872114e+00  1.22202164e-09 
 2.51188643e+00  2.51188643e+00  1.22202139e-09 
 2.81838293e+00  2.81838293e+00  1.22202107e-09 
 3.16227766e+00  3.16227766e+00  1.22202067e-09 
 3.54813389e+00  3.54813389e+00  1.22202016e-09 
 3.98107171e+00  3.98107171e+00  1.22201952e-09 
 4.46683592e+00  4.46683592e+00  1.22201872e-09 
 5.01187234e+00  5.01187234e+00  1.22201771e-09 
 5.62341325e+00  5.62341325e+00  1.22201643e-09 
 6.30957344e+00  6.30957344e+00  1.22201483e-09 
 7.07945784e+00  7.07945784e+00  1.22201281e-09 
 7.94328235e+00  7.94328235e+00  1.22201027e-09 
 8.91250938e+00  8.91250938e+00  1.22200707e-09 
 1.00000000e+01  1.00000000e+01  1.22200305e-09 
 1.12201845e+01  1.12201845e+01  1.22199798e-09 
 1.25892541e+01  1.25892541e+01  1.22199160e-09 
 1.41253754e+01  1.41253754e+01  1.22198356e-09 
 1.58489319e+01  1.58489319e+01  1.22197345e-09 
 1.77827941e+01  1.77827941e+01  1.22196072e-09 
 1.99526231e+01  1.99526231e+01  1.22194469e-09 
 2.23872114e+01  2.23872114e+01  1.22192451e-09 
 2.51188643e+01  2.51188643e+01  1.22189911e-09 
 2.81838293e+01  2.81838293e+01  1.22186714e-09 
 3.16227766e+01  3.16227766e+01  1.22182689e-09 
 3.54813389e+01  3.54813389e+01  1.22177623e-09 
 3.98107171e+01  3.98107171e+01  1.22171245e-09 
 4.46683592e+01  4.46683592e+01  1.22163218e-09 
 5.01187234e+01  5.01187234e+01  1.22153115e-09 
 5.62341325e+01  5.62341325e+01  1.22140399e-09 
 6.30957344e+01  6.30957344e+01  1.22124396e-09 
 7.07945784e+01  7.07945784e+01  1.22104259e-09 
 7.94328235e+01  7.94328235e+01  1.22078922e-09 
 8.91250938e+01  8.91250938e+01  1.22047047e-09 
 1.00000000e+02  1.00000000e+02  1.22006954e-09 
 1.12201845e+02  1.12201845e+02  1.21956536e-09 
 1.25892541e+02  1.25892541e+02  1.21893153e-09 
 1.41253754e+02  1.41253754e+02  1.21813498e-09 
 1.58489319e+02  1.58489319e+02  1.21713440e-09 
 1.77827941e+02  1.77827941e+02  1.21587825e-09 
 1.99526231e+02  1.99526231e+02  1.21430236e-09 
 2.23872114e+02  2.23872114e+02  1.21232712e-09 
 2.51188643e+02  2.51188643e+02  1.20985409e-09 
